
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
59	TOTH Hajnalka	HUN						(0.00)		8.00		(0.00)		2.00						8.00		16.00	8.00								42.00
60	HALLS Evelyn	AUS						(0.00)	2.00	8.00										4.00	2.00	4.00					16.00			6.00	42.00
61	MAGKANOUDAKI Dimitra	GRE						4.00	0.00	(0.00)				2.00			8.00					0.00			16.00					12.00	42.00
62	BARLOW Rachael	RSA																				0.00				40.00				0.00	40.00
63	BESBES Sarra	TUN																								40.00					40.00
64	BARADJI-DUCHENE Marysa	FRA						(4.00)		(0.00)		8.00	14.00			4.00		(0.00)		4.00	(2.00)	8.00	(2.00)								40.00
65	SATO Nozomi	JPN								4.00							8.00			4.00	4.00	4.00	(0.00)				16.00			0.00	40.00
66	SHIN A Lam	KOR																		4.00	4.00	8.00					16.00			6.00	38.00
67	ESPINOZA TORO Angela Maria	COL										0.00	2.00					(0.00)			0.00	16.00	2.00					16.00		0.00	36.00
68	HABLUTZEL-BURKI Gianna	SUI						8.00	8.00	(0.00)		8.00	8.00	(2.00)		8.00	(2.00)	(4.00)		(4.00)	(0.00)	(8.00)	(0.00)								36.00
69	CYGAN Olga	POL						8.00		4.00		4.00	(4.00)			(4.00)	8.00	(2.00)		8.00		(0.00)	(4.00)		4.00					0.00	36.00
70	VYBORNOVA Eva	UKR						(0.00)		4.00		4.00				4.00		4.00		(0.00)		(0.00)	2.00		16.00					6.00	36.00
